#CODE	ENGLISH	ENGLISH
IS_NOT_LOVER_OF	Is NOT a Lover of §Y$WHO$§!	Is NOT a Lover of §Y$WHO$§!
EVTOPTB_RoI_403	I have no time.	I have no time.
EVTDESC_RoI_404	You have arrived at the banks of the Ganges. You enter a temple at the banks of the river, avoiding the throng of the common pilgrims. The sacred waters offer a ritual of purification and will strengthen your link to the divine.	You have arrived at the banks of the Ganges. You enter a temple at the banks of the river, avoiding the throng of the common pilgrims. The sacred waters offer a ritual of purification and will strengthen your link to the divine.
EVTOPTA_RoI_404	I descend into the water and Ganga washes away my sins.	I descend into the water and Ganga washes away my sins.
EVTDESC_RoI_3150	Your court guru doesnt' talk much. He gives strange advice and has also been caught drinking on several occasions. You're beginning to doubt that he's a real guru.	Your court guru doesnt' talk much. He gives strange advice and has also been caught drinking on several occasions. You're beginning to doubt that he's a real guru.
EVTOPTA_RoI_3150	I must investigate this.	I must investigate this.
EVTOPTB_RoI_3150	Who cares?	Who cares?
EVTDESC_RoI_3151	You've had your court guru watched for several weeks. He secretly drinks and smokes herbs, he keeps sneaking out to pleasure houses in disguise, and spends the money he gets from donations on playing cards.	You've had your court guru watched for several weeks. He secretly drinks and smokes herbs, he keeps sneaking out to pleasure houses in disguise, and spends the money he gets from donations on playing cards.
EVTOPTA_RoI_3151	I must confront him.	I must confront him.
EVTOPTB_RoI_3151	Actually, that's my kind of guru.	Actually, that's my kind of guru.
EVTDESC_RoI_3152	As you confront your court guru over his habits, he breaks down and pleads for mercy: 'I confess, I'm an impostor. Please have mercy on me - I'm just a common man trying to make a living.'	As you confront your court guru over his habits, he breaks down and pleads for mercy: 'I confess, I'm an impostor. Please have mercy on me - I'm just a common man trying to make a living.'
EVTOPTA_RoI_3152	It's the dungeons for you!	It's the dungeons for you!
EVTOPTB_RoI_3152	Leave my palace now. Your charade is over.	Leave my palace now. Your charade is over.
EVTDESC_RoI_3100	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a drunkard.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a drunkard.' He bows and looks at you in silence.
EVTOPTA_RoI_3100	I shall strive to improve.	I shall strive to improve.
EVTOPTB_RoI_3100	Leave me alone.	Leave me alone.
EVTOPTC_RoI_3100	No one speaks to me like that!	No one speaks to me like that!
EVTDESC_RoI_3101	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be such a hedonist.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be such a hedonist.' He bows and looks at you in silence.
EVTDESC_RoI_3102	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be known as an impaler.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be known as an impaler.' He bows and looks at you in silence.
EVTDESC_RoI_3103	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so lecherous and lustful.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so lecherous and lustful.' He bows and looks at you in silence.
EVTDESC_RoI_3104	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be gluttonous.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be gluttonous.' He bows and looks at you in silence.
EVTDESC_RoI_3105	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so greedy.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so greedy.' He bows and looks at you in silence.
EVTDESC_RoI_3106	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be consumed by envy.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be consumed by envy.' He bows and looks at you in silence.
EVTDESC_RoI_3107	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so wroth.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so wroth.' He bows and looks at you in silence.
EVTDESC_RoI_3108	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to have so much pride.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to have so much pride.' He bows and looks at you in silence.
EVTDESC_RoI_3109	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so arbitrary in [Root.GetHerHis] rule.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so arbitrary in [Root.GetHerHis] rule.' He bows and looks at you in silence.
EVTDESC_RoI_3110	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so cynical.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so cynical.' He bows and looks at you in silence.
EVTDESC_RoI_3111	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so prone to cruelty.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so prone to cruelty.' He bows and looks at you in silence.
EVTDESC_RoI_3112	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a duelist and engage in violence for sport.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a duelist and engage in violence for sport.' He bows and looks at you in silence.
EVTDESC_RoI_3113	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to hunt innocent animals for sport.' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to hunt innocent animals for sport.' He bows and looks at you in silence.
EVTDESC_RoI_3114	Your court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to show so little trust in those around [Root.GetHerHim].' He bows and looks at you in silence.	You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to show so little trust in those around [Root.GetHerHim].' He bows and looks at you in silence.
EVTDESC_RoI_410	Priests from a local Hindu temple have approached you, asking for donations. They need to expand the temple with a new building in order to accomodate the growing number of worshipers.	Priests from a local Hindu temple have approached you, asking for donations. They need to expand the temple with a new building in order to accomodate the growing number of worshippers.
EVTOPTA_RoI_410	I will help you. Make sure you put in a large Shiva statue.	I will help you. Make sure you put in a large Shiva statue.
EVTOPTB_RoI_410	I will help you. Make sure you put in a large Vishnu statue.	I will help you. Make sure you put in a large Vishnu statue.
EVTOPTC_RoI_410	I will help you. Make sure you put in a large Brahma statue.	I will help you. Make sure you put in a large Brahma statue.
EVTOPTD_RoI_410	I will help you. Make sure you put in a large Kali statue.	I will help you. Make sure you put in a large Kali statue.
EVTOPTE_RoI_410	I will help you. Make sure you put in a large Ganesha statue.	I will help you. Make sure you put in a large Ganesha statue.
EVTOPTF_RoI_410	I will help you. Make sure you put in a large Ganga statue.	I will help you. Make sure you put in a large Ganga statue.
EVTOPTG_RoI_410	I will help you with a small donation.	I will help you with a small donation.
EVTOPTH_RoI_410	I'm sorry, I don't have the funds.	I'm sorry, I don't have the funds.
EVTDESC_RoI_411	Monks from a local monastery have approached you, asking for donations. They need to accomodate the rising number of worshipers and still have enough provisions to maintain their other work and studies.	Monks from a local monastery have approached you, asking for donations. They need to accomodate the rising number of worshippers and still have enough provisions to maintain their other work and studies.
EVTOPTA_RoI_411	Give them gold.	Give them gold.
EVTOPTB_RoI_411	Give them food.	Give them food.
EVTOPTC_RoI_411	This is none of my concern.	This is none of my concern.
EVTDESC_RoI_412	There have been increasing complaints from merchants in the nearby town lately. It seems a number of naked Jain ascetics have taken to sit and preach in the main square. The merchants say they understand the need to respect other religions, but the naked ascetics are driving away customers and upsetting people's sensitivities.	There have been increasing complaints from merchants in the nearby town lately. It seems a number of naked Jain ascetics have taken to sit and preach in the main square. The merchants say they understand the need to respect other religions, but the naked ascetics are driving away customers and upsetting people's sensitivities.
EVTOPTA_RoI_412	Why do you bother me with this petty nonsense?	Why do you bother me with this petty nonsense?
EVTOPTB_RoI_412	We will ask the ascetics to move to a less prominent location.	We will ask the ascetics to move to a less prominent location.
EVTOPTC_RoI_412	My soldiers will throw these heathens out town!	My soldiers will throw these heathens out town!
merchants_unhappy	The merchants are unhappy	The merchants are unhappy
realm_jains_upset	Jains in your realm are upset.	Jains in your realm are upset.
gambler	Gambler	Gambler
opinion_sacrilege	Sacrilegious Acts	Sacrilegious Acts
sacrilege_tooltip	This sacrilege will be widely known.	This sacrilege will be widely known.
EVTDESC_RoI_163	A priest from the local temple has arrived, asking speak with you: 'My [Root.GetLordLady], the holy elephants at the temple are all sick. However, we have learned that there is a healer in a neighboring province who is famous for healing ailing elephants. He is, however, most expensive...'	A priest from the local temple has arrived, asking speak with you: 'My [Root.GetLordLady], the holy elephants at the temple are all sick. However, we have learned that there is a healer in a neighboring province who is famous for healing ailing elephants. He is, however, most expensive...'
EVTOPTA_RoI_163	How unfortunate for you.	How unfortunate for you.
EVTOPTB_RoI_163	I shall pay for it.	I shall pay for it.
EVTDESC_RoI_164	My [Root.GetLordLady], messengers have arrived from the great [From.GetFullName]. It seems [From.GetSheHe] has decided to honor you with the grandest of all gifts, a white elephant!	My [Root.GetLordLady], messengers have arrived from the great [From.GetFullName]. It seems [From.GetSheHe] has decided to honor you with the grandest of all gifts, a white elephant!
EVTOPTA_RoI_164	I will accept this gracious gift.	I will accept this gracious gift.
EVTOPTB_RoI_164	I will not accept it.	I will not accept it.
EVTDESC_RoI_165	You will need to build a proper stable for your white elephant. It is a unique and holy animal and must have an abode fitting its status.	You will need to build a proper stable for your white elephant. It is a unique and holy animal and must have an abode fitting its status.
EVTOPTA_RoI_165	I shall build it a house of fine woods and gold.	I shall build it a house of fine woods and gold.
EVTOPTB_RoI_165	A normal elephant pen will do.	A normal elephant pen will do.
EVTDESC_RoI_166	My [Root.GetLordLady], the guards keeping watch over your white elephant report that they have caught some trespassers. It seems they are members of a rather strange local Ganesha cult, and they have been stealing the white elephant's dung for worship.	My [Root.GetLordLady], the guards keeping watch over your white elephant report that they have caught some trespassers. It seems they are members of a rather strange local Ganesha cult, and they have been stealing the white elephant's dung for worship.
EVTOPTA_RoI_166	Kill the blasphemers!	Kill the blasphemers!
EVTOPTB_RoI_166	No harm done, give them the droppings as a gift.	No harm done, give them the droppings as a gift.
EVTOPTC_RoI_166	Let them work in the stables. We will pay them with dung.	Let them work in the stables. We will pay them with dung.
EVTDESC_RoI_167	Your white elephant has still not gotten used to its new housing, and it seems restless and bored. Last night it got worse, it started kicking around and going on a rampage, almost tearing the whole place apart.	Your white elephant has still not gotten used to its new housing, and it seems restless and bored. Last night it got worse, it started kicking around and going on a rampage, almost tearing the whole place apart.
EVTOPTA_RoI_167	Just repair it.	Just repair it.
EVTOPTB_RoI_167	I've had enough, return this cursed gift.	I've had enough, return this cursed gift.
EVTOPTC_RoI_167	Sell the damned thing.	Sell the damned thing.
EVTOPTD_RoI_167	This stupid animal needs to die - now.	This stupid animal needs to die - now.
EVTDESC_RoI_168	My [Root.GetLordLady], there is a problem with your white elephant. Yesterday, it broke out from its stable and ran out into to the nearby fields. Once there, it immediately attempted to mate with several elephants - this desire may actually have been the reason for its escape.	My [Root.GetLordLady], there is a problem with your white elephant. Yesterday, it broke out from its stable and ran out into to the nearby fields. Once there, it immediately attempted to mate with several elephants - this desire may actually have been the reason for its escape.
EVTOPTA_RoI_168	From now on, make sure it gets weekly 'exercise'.	From now on, make sure it gets weekly 'exercise'.
EVTOPTB_RoI_168	I've had enough, return the lecherous beast.	I've had enough, return the lecherous beast.
EVTOPTC_RoI_168	Hmm, maybe we could sell it for breeding.	Hmm, maybe we could sell it for breeding.
EVTOPTD_RoI_168	Kill this elephant. Now.	Kill this elephant. Now.
EVTDESC_RoI_169	If you truly wish to kill the White Elephant, you must decide how to proceed, my [Root.GetLordLady]. Whichever method we employ, we should try to make it look like an accident so as to avoid insulting the person who gave it to us.	If you truly wish to kill the White Elephant, you must decide how to proceed, my [Root.GetLordLady]. Whichever method we employ, we should try to make it look like an accident so as to avoid insulting the person who gave it to us.
EVTOPTA_RoI_169	Poison it.	Poison it.
EVTOPTB_RoI_169	Let's just starve it to death.	Let's just starve it to death.
EVTOPTC_RoI_169	Push it over a cliff.	Push it over a cliff.
EVTOPTD_RoI_169	I don't care who's insulted. Send in the soldiers with lances.	I don't care who's insulted. Send in the soldiers with lances.
EVTDESC_RoI_170	The caretakers poison the white elephant's drinking water. The elephant soon starts to wail in pain and becomes quite sick. It is a slow poison, and it takes several days for the beast to expire. Everyone is very concerned and very sad at this sudden 'illness'. No one suspects that you had the elephant poisoned.	The caretakers poison the white elephant's drinking water. The elephant soon starts to wail in pain and becomes quite sick. It is a slow poison, and it takes several days for the beast to expire. Everyone is very concerned and very sad at this sudden 'illness'. No one suspects that you had the elephant poisoned.
EVTOPTA_RoI_170	Excellent.	Excellent.
EVTDESC_RoI_171	The caretakers poison the white elephant's drinking water. The elephant soon starts to wail in pain and becomes quite sick, vomiting blood and dying within minutes. Most people think it very strange that such a healthy animal suddenly died so quickly. Rumor quickly spreads that you had it poisoned.	The caretakers poison the white elephant's drinking water. The elephant soon starts to wail in pain and becomes quite sick, vomiting blood and dying within minutes. Most people think it very strange that such a healthy animal suddenly died so quickly. Rumor quickly spreads that you had it poisoned.
EVTOPTA_RoI_171	Unfortunate.	Unfortunate.
EVTDESC_RoI_172	You instruct the caretakers to stop feeding the elephant. The animal gets progressively weaker and weaker until one morning it is found dead. You have your servants and medics complain loudly about the animal having been sick and refusing to eat. Everyone is sad, but no one suspects foul play.	You instruct the caretakers to stop feeding the elephant. The animal gets progressively weaker and weaker until one morning it is found dead. You have your servants and medics complain loudly about the animal having been sick and refusing to eat. Everyone is sad, but no one suspects foul play.
EVTOPTA_RoI_172	Excellent.	Excellent.
EVTDESC_RoI_173	You instruct the caretakers to stop feeding the elephant. The animal gets progressively weaker and weaker until one morning it is found dead. Word gets out, however, that your servants had stopped delivering food to the stable and soon it is common knowledge that you starved the elephant to death.	You instruct the caretakers to stop feeding the elephant. The animal gets progressively weaker and weaker until one morning it is found dead. Word gets out, however, that your servants had stopped delivering food to the stable and soon it is common knowledge that you starved the elephant to death.
EVTOPTA_RoI_173	Unfortunate.	Unfortunate.
EVTDESC_RoI_174	You arrange to bring the white elephant on an official procession very near some high cliffs. At the right moment, the guards prod the elephant with spears and drive it over the cliff, and it falls to its death. You swiftly have the guards spread the news of the terrible accident. Everyone is shocked, but no one suspects your involvement.	You arrange to bring the white elephant on an official procession very near some high cliffs. At the right moment, the guards prod the elephant with spears and drive it over the cliff, and it falls to its death. You swiftly have the guards spread the news of the terrible accident. Everyone is shocked, but no one suspects your involvement.
EVTOPTA_RoI_174	Excellent.	Excellent.
EVTDESC_RoI_175	You arrange to bring the white elephant on an official procession very near some high cliffs. At the right moment, the guards prod the elephant with spears and drive it over the cliff, and it falls to its death. Unluckily, however, some hunters passing by witnessed the whole incident, and rumor of your bloody deed swiftly spread throughout the realm.	You arrange to bring the white elephant on an official procession very near some high cliffs. At the right moment, the guards prod the elephant with spears and drive it over the cliff, and it falls to its death. Unluckily, however, some hunters passing by witnessed the whole incident, and rumor of your bloody deed swiftly spread throughout the realm.
EVTOPTA_RoI_175	Unfortunate.	Unfortunate.
EVTDESC_RoI_176	You send twenty soldiers armed with lances into the white elephant's stable. They attack and swiftly kill the animal in a few very noisy and bloody moments. Everyone knows it was done on your direct orders, and that's exactly the way you want it to be.	You send twenty soldiers armed with lances into the white elephant's stable. They attack and swiftly kill the animal in a few very noisy and bloody moments. Everyone knows it was done on your direct orders, and that's exactly the way you want it to be.
EVTOPTA_RoI_176	It had to be done.	It had to be done.
EVTDESC_RoI_177	The white elephant seems to be a lot calmer now, and hasn't broken anything or injured anyone in quite a while. It seems that perhaps our troubles with it are over.	The white elephant seems to be a lot calmer now, and hasn't broken anything or injured anyone in quite a while. It seems that perhaps our troubles with it are over.
EVTOPTA_RoI_177	Let's hope so.	Let's hope so.
EVTDESC_RoI_180	A group of wandering Buddhist monks have come to visit the province. They are staging impressive shows of acrobatic unarmed fighting techniques in the villages.	A group of wandering Buddhist monks have come to visit the province. They are staging impressive shows of acrobatic unarmed fighting techniques in the villages.
EVTOPTA_RoI_180	Those guys are fast as lightning!	Those guys are fast as lightning!
EVTOPTB_RoI_180	They had better not teach those things to my peasants.	They had better not teach those things to my peasants.
EVTOPTD_RoI_245	I think I know who it was...	I think I know who it was...
EVTDESC_RoI_190	A strange man has approached you, seeking audience with you. He claims he is an 'engineer' and he wishes to build a boat that can travel under water and sail it up the Indus. All he needs is a sponsor for the project. If you help him, he will name the boat after you - 'a you-boat', he jokes, smiling nervously.	A strange man has approached you, seeking audience with you. He claims he is an 'engineer' and he wishes to build a boat that can travel under water and sail it up the Indus. All he needs is a sponsor for the project. If you help him, he will name the boat after you - 'a you-boat', he jokes, smiling nervously.
EVTOPTA_RoI_190	Interesting. How much money do you need?	Interesting. How much money do you need?
EVTOPTB_RoI_190	'You-boat?' Get out. Now.	You-boat?' Get out. Now.
EVTDESC_RoI_191	The 'engineer' spent many days building his underwater boat. In the end it was finished and he set out, submerging the craft to the sound of amazed murmuring from the great crowd gathered along the shore. A faint trail of bubbles could be seen as the boat navigated underwater up the river.\nAlas, he was never seen nor heard of again.	The 'engineer' spent many days building his underwater boat. In the end it was finished and he set out, submerging the craft to the sound of amazed murmuring from the great crowd gathered along the shore. A faint trail of bubbles could be seen as the boat navigated underwater up the river.\nAlas, he was never seen nor heard of again.
EVTOPTA_RoI_191	Hmm, what have we learned from this?	Hmm, what have we learned from this?
EVTDESC_RoI_193	It is rumored that a sacred yogi has mastered the art of levitation, and that he can be seen at a marketplace nearby.	It is rumored that a sacred yogi has mastered the art of levitation, and that he can be seen at a marketplace nearby.
EVTOPTA_RoI_193	I must see this!	I must see this!
EVTOPTB_RoI_193	I have no time for superstitions.	I have no time for superstitions.
EVTDESC_RoI_194	You arrive at the marketplace. There is a large crowd gathered around the yogi. He does indeed seem to be levitating above the ground, eyes closed. Someone mutters that he has been still like that for several hours.	You arrive at the marketplace. There is a large crowd gathered around the yogi. He does indeed seem to be levitating above the ground, eyes closed. Someone mutters that he has been still like that for several hours.
EVTOPTA_RoI_194	Interesting.	Interesting.
EVTOPTB_RoI_194	Fascinating! I must donate money to this holy man.	Fascinating! I must donate money to this holy man.
EVTOPTC_RoI_194	Let's poke him and see what happens.	Let's poke him and see what happens.
EVTOPTD_RoI_194	I think I'll give him a hard shove.	I think I'll give him a hard shove.
EVTDESC_RoI_195	You leave the levitating yogi, pondering the magical mysteries of these holy men.	You leave the levitating yogi, pondering the magical mysteries of these holy men.
EVTOPTA_RoI_195	The world holds so many fantastic things.	The world holds so many fantastic things.
EVTDESC_RoI_196	You poke the yogi. He blinks, then regains his composure.	You poke the yogi. He blinks, then regains his composure.
EVTOPTA_RoI_196	Poke him again.	Poke him again.
EVTOPTB_RoI_196	Leave him alone.	Leave him alone.
EVTOPTC_RoI_196	Give him a good shove.	Give him a good shove.
EVTDESC_RoI_197	The yogi opens his eyes, irritated. He steps down and leaves without a word. The rest of the crowd eyes you with disapproval.	The yogi opens his eyes, irritated. He steps down and leaves without a word. The rest of the crowd eyes you with disapproval.
EVTOPTA_RoI_197	What?	What?
EVTDESC_RoI_198	You take step back, then throw yourself forward, giving the yogi a forceful shove. He topples over with a frightened screech, hitting his head on the ground. The crowd stares in stunned silence at you and the yogi.	You take step back, then throw yourself forward, giving the yogi a forceful shove. He topples over with a frightened screech, hitting his head on the ground. The crowd stares in stunned silence at you and the yogi.
EVTOPTA_RoI_198	I knew he was a fake!	I knew he was a fake!
EVTDESC_RoI_158	An elephant has gone crazy and is running amuck in the town outside the castle. It has already killed several people - what shall we do?	An elephant has gone crazy and is running amuck in the town outside the castle. It has already killed several people - what shall we do?
EVTOPTA_RoI_158	Send soldiers to kill it.	Send soldiers to kill it.
EVTOPTB_RoI_158	Try to capture it.	Try to capture it.
EVTDESC_RoI_159	Several soldiers were severely injured, but they managed to kill the elephant. The animal died screaming, spilling a whole river of blood all over the street. The peasants are very upset.	Several soldiers were severely injured, but they managed to kill the elephant. The animal died screaming, spilling a whole river of blood all over the street. The peasants are very upset.
EVTOPTA_RoI_159	Well, at least the town is safe now.	Well, at least the town is safe now.
EVTDESC_RoI_160	The soldiers managed to lure the elephant to a safe area and then kill it with spears.	The soldiers managed to lure the elephant to a safe area and then kill it with spears.
