#CODE	ENGLISH	ENGLISH
AIREASON_ALL_HELP_IS_APPRECIATED	All help is appreciated	All help is appreciated
PLOT_CONDITION_FOR_YOU	Must be true for you	Must be true for you
PLOT_CONDITION_FOR_TARGET	Must be true for $TARGET$	Must be true for $TARGET$
ALREADY_HAVE_AMBITION	Already striving to $PLOT$	Already striving to $PLOT$
SEND_GIFT_INTERACTION_LONG_DESC	Sending an expensive gift to characters will improve their opinion of you by an amount depending on your State Diplomacy and their greed. Characters in your realm will not be quite as appreciative of gifts as outsiders.	Sending an expensive gift to characters will improve their opinion of you by an amount depending on your State Diplomacy and their greed. Characters in your realm will not be quite as appreciative of gifts as outsiders.
JOIN_ATTACKER_WARS_EFFECT	Will join [GetTitledName] in [GetPossPronoun] offensive wars	Will join [GetTitledName] in [GetPossPronoun] offensive wars
JOIN_DEFENDER_WARS_EFFECT	Will join [GetTitledName] in [GetPossPronoun] defensive wars	Will join [GetTitledName] in [GetPossPronoun] defensive wars
IS_NOT_PRIMARY_WAR_ATTACKER	Is NOT the main attacker in a war	Is NOT the main attacker in a war
IS_PRIMARY_WAR_ATTACKER	Is the main attacker in a war	Is the main attacker in a war
IS_NOT_PRIMARY_WAR_DEFENDER	Is NOT the main defender in a war	Is NOT the main defender in a war
IS_PRIMARY_WAR_DEFENDER	Is the main defender in a war	Is the main defender in a war
SET_DE_JURE_LIEGE_EFFECT	The §Y$LIEGE$§! becomes the new De Jure liege title of the §Y$VASSAL$§!	The §Y$LIEGE$§! becomes the new De Jure liege title of the §Y$VASSAL$§!
CONTRIBUTION_PERC_IRO	$CHAR$'s Contribution: §Y$PERC$%§! (§Y$SCORE$§!)	$CHAR$'s Contribution: §Y$PERC$%§! (§Y$SCORE$§!)
ASK_TO_JOIN_WAR_INTERACTION_TITLE	Offer to Join War	Offer to Join War
ASK_TO_JOIN_WAR_INTERACTION_DESC	Offer to join §Y[Recipient.GetBestName]§! in one of [Recipient.GetPossPronoun] wars.	Offer to join §Y[Recipient.GetBestName]§! in one of [Recipient.GetPossPronoun] wars.
ASK_TO_JOIN_WAR_INTERACTION_LONG_DESC	You can offer to join rulers of your own religion in many types of wars.	You can offer to join rulers of your own religion in many types of wars.
ASK_TO_JOIN_WAR_INTERACTION_0	Offer to join §Y[Recipient.GetBestName]§! in §Y$WAR$§!.	Offer to join §Y[Recipient.GetBestName]§! in §Y$WAR$§!.
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_SETUP	Offer to Join War Accepted	Offer to Join War Accepted
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_LOG	§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W offer to join §Y$WAR$§!	§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W offer to join §Y$WAR$§!
ASK_TO_JOIN_WAR_INTERACTION_DECLINE_SETUP	Offer to Join War Declined	Offer to Join War Declined
ASK_TO_JOIN_WAR_INTERACTION_DECLINE_LOG	§Y[Recipient.GetBestName]§W declined §Y[Actor.GetBestName]'s§W offer to join §Y$WAR$§!	§Y[Recipient.GetBestName]§W declined §Y[Actor.GetBestName]'s§W offer to join §Y$WAR$§!
ASK_TO_JOIN_WAR_INTERACTION_OFFER	[Actor.GetBestName] wants to join §Y$WAR$§!	[Actor.GetBestName] wants to join §Y$WAR$§!
ASK_TO_JOIN_WAR_INTERACTION_LETTER	Your cause is righteous! Please accept my offer to join you in the $WAR$.	Your cause is righteous! Please accept my offer to join you in the $WAR$.
INTERACTION_CANNOT_JOIN_LIEGE_WAR	We cannot join our lieges' wars	We cannot join our lieges' wars
INTERACTION_REQUIRES_RECIPIENT_IS_SAME_RELIGION	§Y[Recipient.GetTitledFirstName]§! is [Actor.Religion.GetName]	[Recipient.GetTitledName] is [Actor.Religion.GetName]
EVTDESC293	I gladly accept your offer of assistance in my war. Let our enemies tremble!\n\n[From.GetTitledFirstName]	I gladly accept your offer of assistance in my war. Let our enemies tremble!\n\n[From.GetTitledFirstName]
EVTDESC294	I appreciate your offer, but I do not need your meddling in my war.\n\n[From.GetTitledFirstName]	I appreciate your offer, but I do not need your meddling in my war.\n\n[From.GetTitledFirstName]
CALL_ALLY_INTERACTION_TITLE	Call to Arms	Call to Arms
CALL_ALLY_INTERACTION_DESC	Request that §Y[Recipient.GetBestName]§! join us in our current war efforts.	Request that §Y[Recipient.GetBestName]§! join us in our current war efforts.
CALL_ALLY_INTERACTION_LONG_DESC	Characters can be called into wars only if they are of the same dynasty or have close marital ties.	Characters can be called into wars only if they are of the same dynasty or have close marital ties.
CALL_ALLY_INTERACTION_0	Request that §Y[Recipient.GetBestName]§! join us in §Y$WAR$§!.	Request that §Y[Recipient.GetBestName]§! join us in §Y$WAR$§!.
CALL_ALLY_INTERACTION_ACCEPT_SETUP	Call to Arms Accepted	Call to Arms Accepted
CALL_ALLY_INTERACTION_ACCEPT_LOG	§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W call to arms for §Y$ACTOR_WARS$§!	§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W call to arms for §Y$ACTOR_WARS$§!
CALL_ALLY_INTERACTION_DECLINE_SETUP	Call to Arms Declined	Call to Arms Declined
CALL_ALLY_INTERACTION_DECLINE_LOG	§Y[Recipient.GetBestName]§W declined §Y[Actor.GetBestName]'s§W call to arms for §Y$ACTOR_WARS$§!	§Y[Recipient.GetBestName]§W declined §Y[Actor.GetBestName]'s§W call to arms for §Y$ACTOR_WARS$§!
CALL_ALLY_INTERACTION_OFFER	[Actor.GetBestName] wants us to join §Y$ACTOR_WARS$§!	[Actor.GetBestName] wants us to join §Y$ACTOR_WARS$§!
ACTOR_WARS	[GetPossPronoun] wars	[GetPossPronoun] wars
DECLARE_WAR_INTERACTION_3	§R[Recipient.GetTitledFirstName] is currently revolting against [Recipient.GetPossPronoun] liege. If that conflict ends, our war will end too! The forces of the liege and any other revolters will be hostile to our armies.§!	§R[Recipient.GetTitledFirstName] is currently revolting against [Recipient.GetPossPronoun] liege. If that conflict ends, our war will end too! The forces of the liege and any other revolters will be hostile to our armies.§!
DECLARE_WAR_INTERACTION_4	§RNearby [Recipient.Religion.GetName] rulers might ask to join [Recipient.GetTitledName] in defense of their faith.§!	§RNearby [Recipient.Religion.GetName] rulers might ask to join [Recipient.GetTitledName] in defense of their faith.§!
plot_gain_vassal_title_title	Revoke the [This.GetFullBaseName]	Revoke the [This.GetFullBaseName]
plot_gain_vassal_title_desc	[From.GetBestName] is plotting to revoke the title of [This.GetFullBaseName].	[From.GetBestName] is plotting to revoke the title of [This.GetFullBaseName].
plot_gain_vassal_title_decision	[Root.GetPlot]	[Root.GetPlot]
plot_gain_vassal_title_decision_desc	Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].	Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].
EVTTOOLTIP8030	[Root.PlotTarget.GetTitledName] receives a letter.	[Root.PlotTarget.GetTitledName] receives a letter.
EVTDESC8030	I have decided to [From.GetPlot]. The vassals in the realm have studied the legal documents presented in this case and the majority of them have deemed my demand justified. Either step down peacefully or I will be forced to take what is mine by military means.\n\nSigned,\n[From.GetTitledName]	I have decided to [From.GetPlot]. The vassals in the realm have studied the legal documents presented in this case and the majority of them have deemed my demand justified. Either step down peacefully or I will be forced to take what is mine by military means.\n\nSigned,\n[From.GetTitledName]
EVTDESC8068	Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and hand my title over to you. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName]	Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and hand my title over to you. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName]
EVTOPTA8068	Excellent!	Excellent!
EVTDESC8096	Rather than letting civil war tear the realm apart, [FromFrom.PlotTarget.GetTitledName] has agreed to step down and let me [FromFrom.GetPlot]. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName]	Rather than letting civil war tear the realm apart, [FromFrom.PlotTarget.GetTitledName] has agreed to step down and let me [FromFrom.GetPlot]. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName]
EVTOPTA8096	Good	Good
EVTDESC8118	Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. What is rightfully mine is mine!\n\nSigned,\n[From.GetTitledName]	Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. What is rightfully mine is mine!\n\nSigned,\n[From.GetTitledName]
EVTOPTA8118	Then war it is!	Then war it is!
CRUSADE_DESC_IRO	His Holiness, §Y$POPE$§! has declared a $CRUSADE$ to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.	His Holiness, §Y$POPE$§! has declared a $CRUSADE$ to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.
CRUSADE_DESC_DRO_1	Since the Crown of §Y$TITLE$§! is already held by a good [Religion.GetName] ruler - §Y[GetTitledFirstName]§! - all gains will be handed over to [GetObjectPronoun].	Since the Crown of §Y$TITLE$§! is already held by a good [Religion.GetName] ruler - §Y[GetTitledFirstName]§! - all gains will be handed over to [GetObjectPronoun].
CRUSADE_DESC_DRO_2	Since the Crown of §Y$TITLE$§! is not held by a $RELIGION$ ruler, all gains will be handed over to the ruler who contributes the most to the $CRUSADE$, which is currently §Y$RULER$§!.	Since the Crown of §Y$TITLE$§! is not held by a $RELIGION$ ruler, all gains will be handed over to the ruler who contributes the most to the $CRUSADE$, which is currently §Y$RULER$§!.
PARTICIPATION_SCORE	Contribution to the $CRUSADE$	Contribution to the $CRUSADE$
CLICK_TO_OPEN_WAR_VIEW	§GClick to Open the War View§!	§GClick to Open the War View§!
EVTNAME620	Successful [From.Religion.GetCrusadeName] for [Root.GetBaseName]!	Successful [From.Religion.GetCrusadeName] for [Root.GetBaseName]!
EVTDESC620	[From.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName]. [From.RelHead.GetTitledName] has called for a month of celebration across the whole [From.Religion.GetGroupName] world!	[From.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName]. [From.RelHead.GetTitledName] has called for a month of celebration across the whole [From.Religion.GetGroupName] world!
EVTOPTA620	Praise [From.Religion.GetRandomGodName]!	Praise [From.Religion.GetRandomGodName]!
EVTNAME621	The [From.Religion.GetCrusadeName] for [Root.GetBaseName] Fails!	The [From.Religion.GetCrusadeName] for [Root.GetBaseName] Fails!
EVTDESC621	[From.Religion.GetRandomGodNameCap], it seems, does not favor the [From.Religion.GetGroupName] faithful. After a string of defeats and setbacks, [From.GetTitledName] has called off the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName].	[From.Religion.GetRandomGodNameCap], it seems, does not favour the [From.Religion.GetGroupName] faithful. After a string of defeats and setbacks, [From.GetTitledName] has called off the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName].
TITLE_CREATION_NOT_PRIMARY_TYPE	Special title holders cannot create or usurp equal or higher rank titles.	Special title holders cannot create or usurp equal or higher rank titles.
IS_NOT_LOCATED_IN_AREA	Is NOT Located in	Is NOT Located in
IS_LOCATED_IN_AREA	Is Located in	Is Located in
IS_NOT_DE_JURE_VASSAL_OR_BELOW	Is NOT de jure vassal or below	Is NOT de jure vassal or below
IS_DE_JURE_VASSAL_OR_BELOW	Is de jure vassal or below	Is de jure vassal or below
WAR_NAME_CRUSADE	$ORDER$$RELIGION$ $HOLY_WAR$ for $OTHER_TITLE$	$ORDER$$RELIGION$ $HOLY_WAR$ for $OTHER_TITLE$
CB_NAME_CLAIM_VASSAL	Revoke [Title.GetBaseName]	Revoke [Title.GetBaseName]
#coastal_republic_desc	As a Naval Republic, §Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§!	As a Naval Republic, §Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§!
HOLDING_TYPE_IS_NOT	Holding Type is NOT 	Holding Type is NOT 
HOLDING_TYPE_IS	Holding Type is 	Holding Type is 
REPUBLIC_HELD_CITY	Republic held City	Republic held City
REPUBLIC_HELD_COASTAL_CITY	Republic held Coastal City	Republic held Coastal City
REPUBLIC_GRAND_CAPITAL_CITY	Grand Republic Capital City	Grand Republic Capital City
MATRILINEAL_MARRIAGE	Matrilineal Marriage	Matrilineal Marriage
MATRILINEAL	Matrilineal	Matrilineal
BETROTHAL_SUCC	Matrilineal Betrothal	Matrilineal Betrothal
BETROTHED_SUCC_IRO	These characters are promised to each other and cannot marry anyone else unless the betrothal is broken. They have agreed to marry matrilineally, meaning any children born to the couple will be of the bride's dynasty.	These characters are promised to each other and cannot marry anyone else unless the betrothal is broken. They have agreed to marry matrilineally, meaning any children born to the couple will be of the bride's dynasty.
OFFER_SUCCESSION_MARRIGE_INTERACTION_3	§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!	§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!
OFFER_MARRIGE_INTERACTION_3	§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!	§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!
ARRANGE_SUCC_BETROTHAL_INTERACTION_TITLE	Arrange Matrilineal Betrothal	Arrange Matrilineal Betrothal
ARRANGE_SUCC_BETROTHAL_INTERACTION_DESC	Arrange a Matrilineal Betrothal between two characters	Arrange a Matrilineal Betrothal between two characters
ARRANGE_SUCC_BETROTHAL_INTERACTION_LONG_DESC	While children are not allowed to marry, they can get betrothed. The betrothal will last until the characters get married, one of them should die, or it is explicitly broken.	While children are not allowed to marry, they can get betrothed. The betrothal will last until the characters get married, one of them should die, or it is explicitly broken.
ARRANGE_SUCC_BETROTHAL_INTERACTION_0	Select a future bride and groom.	Select a future bride and groom.
ARRANGE_SUCC_BETROTHAL_INTERACTION_1	Select a character from the court of §Y$CHAR$§W.	Select a character from the court of §Y$CHAR$§W.
ARRANGE_SUCC_BETROTHAL_INTERACTION_ACCEPT_SETUP	Matrilineal Betrothal Offer Accepted	Matrilineal Betrothal Offer Accepted
ARRANGE_SUCC_BETROTHAL_INTERACTION_ACCEPT_LOG	§Y[Recipient.GetBestName]§W accepts the suggestion by §Y[Actor.GetBestName]§W that §Y[ActorExtra.GetBestName]§W and §Y[RecipientExtra.GetBestName]§W should get betrothed matrilineally	§Y[Recipient.GetBestName]§W accepts the suggestion by §Y[Actor.GetBestName]§W that §Y[ActorExtra.GetBestName]§W and §Y[RecipientExtra.GetBestName]§W should get betrothed matrilineally
ARRANGE_SUCC_BETROTHAL_INTERACTION_DECLINE_SETUP	Matrilineal Betrothal Offer Declined	Matrilineal Betrothal Offer Declined
ARRANGE_SUCC_BETROTHAL_INTERACTION_DECLINE_LOG	§Y[Recipient.GetBestName]§W declines the suggestion by §Y[Actor.GetBestName]§W that §Y[ActorExtra.GetBestName]§W and §Y[RecipientExtra.GetBestName]§W should get betrothed matrilineally	§Y[Recipient.GetBestName]§W declines the suggestion by §Y[Actor.GetBestName]§W that §Y[ActorExtra.GetBestName]§W and §Y[RecipientExtra.GetBestName]§W should get betrothed matrilineally
ARRANGE_SUCC_BETROTHAL_INTERACTION_OFFER	[Actor.GetBestName] proposes that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally	[Actor.GetBestName] proposes that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally
ARRANGE_SUCC_BETROTHAL_INTERACTION_LETTER	We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally.	We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally.
ARRANGE_SUCC_BETROTHAL_INTERACTION_3	§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!	§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!
ARRANGE_BETROTHAL_INTERACTION_3	§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!	§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!
EVTDESC330	I have decided to accept your suggestion of a matrilineal betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].	I have decided to accept your suggestion of a matrilineal betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].
EVTDESC331	I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName] matrilineally.	I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName] matrilineally.
WAR_NAME_CLAIM_ALL	$ORDER$$FIRST_ADJ$ War for the $CLAIMS$	$ORDER$$FIRST_ADJ$ War for the $CLAIMS$
ALL_WARS	All Wars	All Wars
stressed_death	of severe stress	of severe stress
depressed_death	of depression	of depression
ill_death	after a period of illness	after a period of illness
pneumonic_death	of Pneumonia	of Pneumonia
syphilitic_death	of Great Pox	of Great Pox
leper_death	of terminal stage Leprosy	of terminal stage Leprosy
wounded_death	of an infected wound	of an infected wound
maimed_death	a maimed cripple	a maimed cripple
infirm_death	bedridden and infirm	bedridden and infirm
incapable_death	comatose in bed	comatose in bed
has_tuberculosis_death	of Consumption	of Consumption
has_typhoid_fever_death	of the Slow Fever	of the Slow Fever
has_typhus_death	of Camp Fever	of Camp Fever
has_bubonic_plague_death	of the dreaded Plague	of the dreaded Plague
has_measles_death	of the Measles	of the Measles
has_small_pox_death	of Smallpox	of Smallpox
inbred_death	an inbred freak	an inbred freak
weak_death	of poor physique	of poor physique
DEATH_BY_TRAIT	died $TRAIT_DEATH$	died $TRAIT_DEATH$
DEATH_BY_NATURE	died a natural death	died a natural death
DEATH_BY_MURDER	was murdered on the orders of $KILLER$	was murdered on the orders of $KILLER$
DEATH_BY_MURDER_UNKNOWN	died under suspicious circumstances	died under suspicious circumstances
DEATH_EXECUTION	was executed by $KILLER$	was executed by $KILLER$
DEATH_ACCIDENT	died in an accident	died in an accident
DEATH_BATTLE	died in battle against $KILLER$	died in battle against $KILLER$
DEATH_BATTLE_NO_KILLER	died in battle	died in battle
DEATH_DUNGEON	died in the dungeons of $KILLER$	died in the dungeons of $KILLER$
DEATH_SUICIDE	committed suicide	committed suicide
DEATH_RABBLE	was killed by rabble	was killed by rabble
DEATH_DUEL	was slain by $KILLER$ in personal combat	was slain by $KILLER$ in personal combat
CHARACTER_DEAD_TOOLTIP	[GetDeathReasonCap] on §Y[GetDeathDate]§! at age §Y[GetAgeYears]§! (born §Y[GetBirthDate]§!).	[GetDeathReasonCap] on §Y[GetDeathDate]§! at age §Y[GetAgeYears]§! (born §Y[GetBirthDate]§!).
CHAR_DEATH_LOG	At age $AGE$, §Y$NAME$§! $CAUSE$.	At age $AGE$, §Y$NAME$§! $CAUSE$.
CHAR_DEATH_LETTER	At the age of $AGE$ my $RELATION$ $NAME$ $CAUSE$.	At the age of $AGE$ my $RELATION$ $NAME$ $CAUSE$.
#SUCCESSION_DESC	$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. Long live $NEW_TITLE$ $NEW_NAME$!	$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. Long live $NEW_TITLE$ $NEW_NAME$!
NOT_READY_TO_PLAY_MP	§Y$PLAYER$§! is not ready	§Y$PLAYER$§! is not ready
DESTROY_LANDED_TITLE_EFFECT	The §Y$TITLE$§! is forfeit.\n	The §Y$TITLE$§! is forfeit.\n
READY	Ready	Ready
nick_haardraade	Hårdråde	Hårdråde
DE_JURE_LIEGE_CHANGED_SETUP	Landed title changes de jure liege	Landed title changes de jure liege
DE_JURE_LIEGE_CHANGED_LOG	After §Y$YEARS$§! years under the §Y$NEW_LIEGE$§!, the §Y$TITLE$§! is no longer considered a de jure part of the §Y$OLD_LIEGE$§!.	After §Y$YEARS$§! years under the §Y$NEW_LIEGE$§!, the §Y$TITLE$§! is no longer considered a de jure part of the §Y$OLD_LIEGE$§!.
DE_JURE_ASS_DESC	Being incorporated, de jure, into the §Y$TITLE$§! (§Y$YEARS$§!/$NEEDED_YEARS$ years)	Being incorporated, de jure, into the §Y$TITLE$§! (§Y$YEARS$§!/$NEEDED_YEARS$ years)
SEND_ASSASSIN_INTERACTION_DESC	Attempt to assassinate §Y[Recipient.GetBestName]§! for §Y$GOLD$§!¤. We have a §Y$CHANCE$%§W chance of success and a §Y$DISC$%§W chance of being discovered. §RIf I am discovered, it will be a black stain on my honor.§W	Attempt to assassinate §Y[Recipient.GetBestName]§! for §Y$GOLD$§!¤. We have a §Y$CHANCE$%§W chance of success and a §Y$DISC$%§W chance of being discovered. §RIf I am discovered, it will be a black stain on my honor.§W
DS_HOSTILE_2	§YHostile§! towards §Y$LIEGE$§! due to the war with their rebelling vassal §Y$VASSAL$§!.	§YHostile§! towards §Y$LIEGE$§! due to the war with their rebelling vassal §Y$VASSAL$§!.
DS_HOSTILE_3	§YHostile§! towards §Y$ATTACKER$§! due to their war on the rebelling vassal §Y$VASSAL$§!.	§YHostile§! towards §Y$ATTACKER$§! due to their war on the rebelling vassal §Y$VASSAL$§!.
DS_HOSTILE_4	§YHostile§! towards §Y$OTHER$§! due to the war on the other rebelling vassal, §Y$VASSAL$§!.	§YHostile§! towards §Y$OTHER$§! due to the war on the other rebelling vassal, §Y$VASSAL$§!.
DS_HOSTILE_5	§YHostile§! towards §Y$VASSAL$§! due to the war on their liege, §Y$LIEGE$§!.	§YHostile§! towards §Y$VASSAL$§! due to the war on their liege, §Y$LIEGE$§!.
DS_HOSTILE_6	§YHostile§! towards §Y$ATTACKER$§! due to their war on the nominal liege, §Y$LIEGE$§!.	§YHostile§! towards §Y$ATTACKER$§! due to their war on the nominal liege, §Y$LIEGE$§!.
UW_NOT_POSSIBLE_TO_ATTACH	There are no friendly units here to attach to.	There are no friendly units here to attach to.
UW_UNITS_ATTACHED	The following units are attached.	The following units are attached.
UW_ATTACH_TO	Attach to always follow $NAME$.	Attach to always follow $NAME$.
UW_DETACH_FROM	Detach from following $NAME$.	Detach from following $NAME$.
INTERACTION_NO_OUTSIDER_OCCUPATION	None of §Y$REVOLTER$'s§! holdings are occupied by §Y$OUTSIDER$§!.	None of $REVOLTER$'s holdings are occupied by $OUTSIDER$.
OL_UNIT_MOVING	Next county on route is §Y$TARGET$§W.	Next province on route is §Y$TARGET$§W.
k_andalusia	Andalusia	Andalusia
k_brittany	Brittany	Brittany
k_brittany_adj	Breton	Breton
k_aquitaine	Aquitaine	Aquitaine
k_aquitaine_adj	Aquitanian	Aquitanian
d_aquitaine_adj	Aquitanian	Aquitanian
b_asperg	Asperg	Asperg
opinion_father_of_child	My Child	My Child
#plot_kill_character_short	Kill Character	Kill Character
#plot_kill_spouse_short	Kill Spouse	Kill Spouse
CB_NAME_DEJURECLAIM	De Jure Claim on [Title.GetBaseName]	De Jure Claim on [Title.GetBaseName]
WAR_NAME_DEJURECLAIM	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War over $OTHER_TITLE$	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War over $OTHER_TITLE$
TITLE_CREATION_REQ_DUCHIES	You need to hold at least §Y$DUCHIES$§! Duchy titles.	You need to hold at least §Y$DUCHIES$§! Duchy titles.
TITLE_TITULAR_NO_CAPITAL	This title cannot be created normally.	This title cannot be created normally.
TITLE_TITULAR_CREATION_DESC	Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§!¤ and §R$PIETY$§! $PIETYNAME$.	Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§!¤ and §R$PIETY$§! $PIETYNAME$.
TITLE_TITULAR_REQ_HELD_CAPITAL	You must hold the §Y$TITLE$§!.	You must hold the §Y$TITLE$§!.
EVTDESC65115	I find tasty mud on ground. Eat some. While eat, young girl come to me. She ask, 'Are you stupid or something?'	I find tasty mud on ground. Eat some. While eat, young girl come to me. She ask, 'Are you stupid or something?'
EVTOPTA65115	I smart. Girl stupid.	I smart. Girl stupid.
EVTOPTB65115	Stupid is as stupid does.	Stupid is as stupid does.
EVTDESC65120	Practise with sword on field today. Noticed hand was red when practise over. Held sword by wrong end whole time! Hahaha.	Practise with sword on field today. Noticed hand was red when practise over. Held sword by wrong end whole time! Hahaha.
EVTOPTA65120	YOW!	YOW!
EVTDESC65125	Horse strange today while riding. Head missing and only moved backwards. Rode this way into [Root.Location.GetName] where stable boy said, 	Horse strange today while riding. Head missing and only moved backwards. Rode this way into [Root.Location.GetName] where stable boy said, 
EVTOPTA65125	Oops. I done bad...	Oops. I done bad...
EVTOPTB65125	Riding my way better.	Riding my way better.
EVTDESC65126	Forgot to put on pants this morning. Much shouting, many upset. I not understand.	Forgot to put on pants this morning. Much shouting, many upset. I not understand.
EVTOPTA65126	Calm down! Simple mistake!	Calm down! Simple mistake!
