#CODE	ENGLISH
haughty	Haughty
EVTDESCC_ZE_13002	Young [From.GetFirstName] is showing much petty cruelty towards others.
EVTOPTA_ZE_13002	[From.GetSheHeCap] should show more ambition.
EVTOPTB_ZE_13002	It's fine, I don't need more competition.
haughty_may_become_ambitious	Chance of [From.GetFirstName] becoming Ambitious.
EVTDESCA_ZE_13004	[From.GetTitledFirstName] disapproves of my tendencies towards pride and has told me that I should show more ambition.
EVTDESCB_ZE_13004	[From.GetTitledFirstName] disapproves of my tendencies towards arbitrariness and has told me that I should show more ambition.
EVTDESCC_ZE_13004	[From.GetTitledFirstName] disapproves of my tendencies towards cruelty and has told me that I should show more ambition.
EVTOPTA_ZE_13004	[From.GetSheHeCap] is right - I am destined for greatness.
EVTOPTB_ZE_13004	[From.GetSheHeCap] can't tell me what to do!
EVTOPTC_ZE_13004	Yes, [From.GetTitledFirstName]'.
EVTOPTD_ZE_13004	[From.GetSheHeCap]'ll be lucky if I don't poison [From.GetHerHis] food.
EVTDESCA_ZE_13011	I find that it brings me great joy to bring joy to others.
EVTDESCB_ZE_13011	I get on well with others, while some people only chase ambitions and get into needless conflicts.
EVTDESCC_ZE_13011	I have learned that most people are kind, and it brings no benefit to walk with mistrust and suspicion.
EVTOPTA_ZE_13011	Kindness binds us all together.
EVTOPTB_ZE_13011	I have what I need right here.
EVTOPTC_ZE_13011	Why would anyone want to harm me?
EVTDESCA_ZE_13012	Young [From.GetFirstName] is developing a kind disposition towards others.
EVTDESCB_ZE_13012	Young [From.GetFirstName] is very easily satisfied and obviously lacking in ambition.
EVTDESCC_ZE_13012	Young [From.GetFirstName] seems to trust everyone, lacking any notion of the evil in man.
EVTOPTA_ZE_13012	[From.GetSheHeCap] should be more charitable.
EVTOPTB_ZE_13012	[From.GetSheHeCap] can only be [From.GetHerselfHimself].
affectionate_may_become_charitable	Chance of [From.GetFirstName] becoming Charitable.
EVTDESCA_ZE_13014	[From.GetTitledFirstName] says [From.GetSheHe] appreciates my kind disposition but thinks I could do even more to help others.
EVTDESCB_ZE_13014	[From.GetTitledFirstName] says [From.GetSheHe] thinks I am being too passive and would like me to do more to help others in need.
EVTDESCC_ZE_13014	[From.GetTitledFirstName] would like me to be less naive and make more efforts to actually help others.
EVTOPTA_ZE_13014	[From.GetSheHeCap] is right, I should do more.
EVTOPTB_ZE_13014	I will try.
EVTOPTC_ZE_13014	I help when I can, but rarely see a need.
EVTOPTD_ZE_13014	But the [Root.TopLiege.GetTitle] provides for all, surely?
EVTDESCA_ZE_13021	As I keep getting older, I find that humility comes naturally to me.
EVTDESCB_ZE_13021	I've always felt more comfortable being silent and letting others talk.
EVTDESCC_ZE_13021	As I learn more about life, I find it is generally wise to stay out of danger as much as possible.
EVTOPTA_ZE_13021	I should avoid the dangers of pride.
EVTOPTB_ZE_13021	There is no need to be noisy.
EVTOPTC_ZE_13021	Only the foolish take risks.
EVTDESCA_ZE_13022	Young [From.GetFirstName] is developing a demeanor of natural humility.
EVTDESCB_ZE_13022	I have observed that young [From.GetFirstName] usually tries to stay out of the way of others.
EVTDESCC_ZE_13022	Young [From.GetFirstName] seems to constantly avoid taking any risks.
EVTOPTA_ZE_13022	[From.GetSheHeCap] shouldn't try so hard.
EVTOPTB_ZE_13022	All is as it should be.
timid_may_become_content	Chance of [From.GetFirstName] becoming Content.
EVTDESCA_ZE_13024	[From.GetTitledFirstName] says I shouldn't try so hard to be humble but instead just be myself.
EVTDESCB_ZE_13024	[From.GetTitledFirstName] says I am too shy and should try to relax more and just be myself among people.
EVTDESCC_ZE_13024	[From.GetTitledFirstName] says I am too fearful and should try to relax more and just be myself
EVTOPTA_ZE_13024	[From.GetSheHeCap] is right, I should let go of it.
EVTOPTB_ZE_13024	I'm not trying, it's who I am.
EVTOPTC_ZE_13024	I'd rather be myself by myself.
EVTOPTD_ZE_13024	There is nothing wrong with being cautious.
EVTDESCA_ZE_13031	I like to climb, wrestle and run - and as I grow older I am beginning to notice that I am physically stronger than others.
EVTDESCB_ZE_13031	I like to play hard and talk straight. I have no time for nonsense.
EVTDESCC_ZE_13031	Playing outside and scratching my knees has taught me to act quickly without unnecessary pause for thinking.
EVTOPTA_ZE_13031	It feels good to be strong!
EVTOPTB_ZE_13031	I will always speak my mind.
EVTOPTC_ZE_13031	Thinking was never my strong side anyway!
EVTDESCA_ZE_13032	Young [From.GetFirstName] loves physical games and is developing a strong physique.
EVTDESCB_ZE_13032	Young [From.GetFirstName] plays hard and talks straight.
EVTDESCC_ZE_13032	Young [From.GetFirstName] is showing tendencies to be more of a doer than a thinker. Yes, that would be a kind way to describe it...
EVTOPTA_ZE_13032	I should focus on teaching [From.GetHerHim] bravery.
EVTOPTB_ZE_13032	[From.GetSheHeCap] should do [From.GetHerHis] own thing.
rowdy_may_become_brave	Chance of [From.GetFirstName] becoming Brave.
EVTDESCA_ZE_13034	[From.GetTitledFirstName] sees that I am growing stronger but tries to encourage me to be more courageous.
EVTDESCB_ZE_13034	[From.GetTitledFirstName] appreciates my honest ways but tries to encourage me to be more courageous.
EVTDESCC_ZE_13034	[From.GetTitledFirstName] says I need to put more thought into my actions, but without compromising my physical courage.
EVTOPTA_ZE_13034	Yes, I want to be brave like [From.GetHerHim]!
EVTOPTB_ZE_13034	My strength is all I need.
EVTOPTC_ZE_13034	Honestly, I don't care.
EVTOPTD_ZE_13034	I don't even know what that means.
EVTDESCA_ZE_13041	I've read about the great [Root.GetMenWomen] in history, and someday I want to be like them.
EVTDESCB_ZE_13041	I know what I can do and have no reason to be afraid of anything.
EVTDESCC_ZE_13041	I've learned that if I put my mind to something I will usually get it.
EVTOPTA_ZE_13041	I will be the greatest.
EVTOPTB_ZE_13041	What is there to fear? Nothing.
EVTOPTC_ZE_13041	I was just born stubborn.
EVTDESCA_ZE_13042	[From.GetFirstName] is developing into an ambitious young [From.GetManWoman].
EVTDESCB_ZE_13042	Young [From.GetFirstName] is more and more becoming known for [From.GetHerHis] great bravery.
EVTDESCC_ZE_13042	Young [From.GetFirstName] is developing a stubborn streak.
EVTOPTA_ZE_13042	I should teach [From.GetHerHim] to be more proud instead.
EVTOPTB_ZE_13042	[From.GetSheHeCap] could never be like me anyway.
willful_may_become_proud	Chance of [From.GetFirstName] becoming Proud.
EVTDESCA_ZE_13044	[From.GetTitledFirstName] says that my ambition is good but [From.GetSheHe] thinks I should be more proud of what I have.
EVTDESCB_ZE_13044	[From.GetTitledFirstName] approves of my bravery but thinks I should be more proud of my achievements.
EVTDESCC_ZE_13044	[From.GetTitledFirstName] thinks I should be proud of what I have but try to be less stubborn.
EVTOPTA_ZE_13044	[From.GetSheHeCap] is right, I should be proud!
EVTOPTB_ZE_13044	But I don't have enough!
EVTOPTC_ZE_13044	I have nothing yet, but [Root.GetSheHe] who dares wins!
EVTOPTD_ZE_13044	I'll decide for myself, thank you.
EVTDESCA_ZE_13051	The more I think about it, the more I see that fairness and justice are things worth striving for.
EVTDESCB_ZE_13051	The world is full of things that make me angry.
EVTDESCC_ZE_13051	The more I think about it, the more I see how things are wrongfully denied me.
EVTOPTA_ZE_13051	It's what separates us from the wild beasts.
EVTOPTB_ZE_13051	I can't stand it sometimes!
EVTOPTC_ZE_13051	It should all be mine.
EVTDESCA_ZE_13052	Young [From.GetFirstName] seems to think a lot about justice, fairness and righting the many wrongs in the world.
EVTDESCB_ZE_13052	I have noticed that young [From.GetFirstName] seems to carry a lot of anger around.
EVTDESCC_ZE_13052	Young [From.GetFirstName] seems to be envious of everything and everyone.
EVTOPTA_ZE_13052	[From.GetSheHeCap] should learn temperance.
EVTOPTB_ZE_13052	I should resist the temptation to intervene.
brooding_may_become_temperate	Chance of [From.GetFirstName] becoming Temperate.
EVTDESCA_ZE_13054	[From.GetTitledFirstName] thinks I should not speak so much of righting the wrongs of others.
EVTDESCB_ZE_13054	[From.GetTitledFirstName] thinks I should learn to better temper my anger.
EVTDESCC_ZE_13054	[From.GetTitledFirstName] thinks I should learn to temper my envy.
EVTOPTA_ZE_13054	[From.GetSheHeCap] is right, I should calm down.
EVTOPTB_ZE_13054	It would be wrong to not care!
EVTOPTC_ZE_13054	I don't care what that [GetRootFromInsult] thinks!
EVTOPTD_ZE_13054	That's easy for [From.GetHerHim] to say!
EVTDESCA_ZE_13061	I don't need many things - I can share what I have.
EVTDESCB_ZE_13061	There are so many things in the world that are just not worth expending energy on.
EVTDESCC_ZE_13061	I find there is nothing that pleases me so much as just sitting down for hours, eating.
EVTOPTA_ZE_13061	It's not worth the effort accumulating things anyway.
EVTOPTB_ZE_13061	It's true of almost everyhing, really.
EVTOPTC_ZE_13061	It is truly the ultimate good in life.
EVTDESCA_ZE_13062	Young [From.GetFirstName] seems to always be willing to share.
EVTDESCB_ZE_13062	Young [From.GetFirstName] seems to be showing more and more signs of laziness.
EVTDESCC_ZE_13062	Young [From.GetFirstName] never stops eating, always staying longer than anyone at the table.
EVTOPTA_ZE_13062	[From.GetSheHeCap] should get out more and talk to people.
EVTOPTB_ZE_13062	Ah, the young will be as they are!
indolent_may_become_gregarious	Chance of [From.GetFirstName] becoming Gregarious.
EVTDESCA_ZE_13064	[From.GetTitledFirstName] says I should talk more to people, give them more of myself.
EVTDESCB_ZE_13064	[From.GetTitledFirstName] thinks I should get out more and talk to people.
EVTDESCC_ZE_13064	[From.GetTitledFirstName] thinks I spend too much time eating and should pause to converse once in a while.
EVTOPTA_ZE_13064	Very well, I'll make the effort!
EVTOPTB_ZE_13064	I'd rather give them my things.
EVTOPTC_ZE_13064	Why bother?
EVTOPTD_ZE_13064	I'd rather not talk with food in my mouth.
EVTDESCA_ZE_13071	I've always loved playing with others - and I still do!
EVTDESCB_ZE_13071	I love fun and games, but the best game of all is the one of tricking people into doing things for me.
EVTDESCC_ZE_13071	Playing games and pranks is the best fun! I do think I never want to grow up.
EVTOPTA_ZE_13071	And people seem to like me.
EVTOPTB_ZE_13071	I pull the strings.
EVTOPTC_ZE_13071	The world is made of pixie dust!
EVTDESCA_ZE_13072	Young [From.GetFirstName] seems to have a natural charm and way with words.
EVTDESCB_ZE_13072	Young [From.GetFirstName] seems to be developing a rather devious and manipulative streak.
EVTDESCC_ZE_13072	Young [From.GetFirstName] seems to often react in erratic and strange ways in perfectly everyday situations. There is something not quite right there...
EVTOPTA_ZE_13072	I shall beat it out of [From.GetHerHim]!
EVTOPTB_ZE_13072	I'm sure [From.GetSheHe] will suffer in life.
playful_may_become_cruel	Chance of [From.GetFirstName] becoming Cruel.
EVTDESCA_ZE_13074	[From.GetTitledFirstName] does not approve of my open and talkative nature and decided to beat it out of me.
EVTDESCB_ZE_13074	[From.GetTitledFirstName] does not approve of my cleverness and cunning and decided to beat it out of me.
EVTDESCC_ZE_13074	[From.GetTitledFirstName] thinks I am too 'strange' and decided to beat it out of me.
EVTOPTA_ZE_13074	One day I'll do the same unto others.
EVTOPTB_ZE_13074	I'll speak of [From.GetHerHis] cruelty to everyone!
EVTOPTC_ZE_13074	I'll let [From.GetHerHim] think it's working.
EVTOPTD_ZE_13074	But I was invisible the whole time.
EVTDESCA_ZE_13081	I've always been one to finish my chores properly. And those of others.
EVTDESCB_ZE_13081	It's important to do things right, which includes not doing them too much.
EVTOPTA_ZE_13081	I just like getting things done.
EVTOPTB_ZE_13081	Self-control is the first step to greatness.
EVTDESCA_ZE_13082	Young [From.GetFirstName] is full of energy and a will to get things done.
EVTDESCB_ZE_13082	Young [From.GetFirstName] is impressing everyone with [From.GetHerHis] sensible choices and great capacity for self-restraint.
EVTOPTA_ZE_13082	[From.GetSheHeCap] should use that power for good.
EVTOPTB_ZE_13082	Life will reward [From.GetHerHim].
conscientious_may_become_just	Chance of [From.GetFirstName] becoming Just.
EVTDESCA_ZE_13084	[From.GetTitledFirstName] thinks I should employ my considerable energies toward just causes.
EVTDESCB_ZE_13084	[From.GetTitledFirstName] commends me on my temperance and wisdom and wishes that I employ it in the service of just causes.
EVTOPTA_ZE_13084	Sage advice.
EVTOPTB_ZE_13084	I already know what I want to do.
EVTOPTC_ZE_13084	It's not wise to be overly zealous.
EVTDESCA_ZE_13091	I love it when everything is in good order, and I'm willing to spend the time that it takes.
EVTDESCB_ZE_13091	I love keeping an eye on things, and I love counting them. Coins especially.
EVTDESCC_ZE_13091	I know how things should be done, but I fear others are always trying to sabotage my efforts.
EVTOPTA_ZE_13091	One shouldn't rush things needlessly.
EVTOPTB_ZE_13091	They are so shiny.
EVTOPTC_ZE_13091	I must be wary of their envy.
EVTDESCA_ZE_13092	Young [From.GetFirstName] loves keeping [From.GetHerHis] things in order and patiently spends lots of time on it.
EVTDESCB_ZE_13092	Young [From.GetFirstName] seems to love ordering and counting things, coins especially.
EVTDESCC_ZE_13092	Young [From.GetFirstName] loves doing things [From.GetHerHis] own way, and often takes it personally and gets angry when others offer opinions.
EVTOPTA_ZE_13092	I should help guide [From.GetHerHim] in the right direction.
EVTOPTB_ZE_13092	[From.GetSheHeCap] is a busy soul, just like me.
fussy_may_become_diligent	Chance of [From.GetFirstName] becoming Diligent.
EVTDESCA_ZE_13094	[From.GetTitledFirstName] approves of my patient diligence but thinks I should be even more focused on the results of my efforts.
EVTDESCB_ZE_13094	[From.GetTitledFirstName] approves of my active mind but thinks I spend too much time thinking about gold and silver.
EVTDESCC_ZE_13094	[From.GetTitledFirstName] says it's good that I have my own strong ideas, but [From.GetSheHe] wants me to focus more on the results of my actions than on worrying about the envy of others.
EVTOPTA_ZE_13094	I should be more like [From.GetHerHim].
EVTOPTB_ZE_13094	Now, don't be hasty, [From.GetLordLady] [From.GetFirstName].
EVTOPTC_ZE_13094	But gold is so pretty!
EVTOPTD_ZE_13094	But they hate me!
EVTDESCA_ZE_13101	Thinking about things, I have concluded that everything in the world is not as the priests say it is.
EVTDESCB_ZE_13101	There are people I know that follow different traditions than those of the [Root.Religion.GetName] faith. I have spoken to them and asked them about it, and now it doesn't seem so strange to me.
EVTDESCC_ZE_13101	I spend a lot of time exploring and thinking about how things work..
EVTOPTA_ZE_13101	They are all liars!
EVTOPTB_ZE_13101	We are all the same, I guess.
EVTOPTC_ZE_13101	It feels great to learn!
EVTDESCA_ZE_13102	Young [From.GetFirstName] seems to have a lot of independent opinions and refuses to listen to the priests.
EVTDESCB_ZE_13102	Young [From.GetFirstName] seems to be taking a curious interest in other traditions than the [From.Religion.GetName] ones.
EVTDESCC_ZE_13102	Young [From.GetFirstName] seems to be a real explorer and experimenter, constantly finding new ideas and topics that fascinate [From.GetHerHim].
EVTOPTA_ZE_13102	I should try to stop these tendencies..
#EVTOPTB_ZE_13102	[From.GetBoyGirl]s will be [From.GetBoyGirl]s.
curious_may_become_patient	Chance of [From.GetFirstName] becoming Patient.
EVTDESCA_ZE_13104	[From.GetTitledFirstName] thinks I should be less quick to question the words of the priests.
EVTDESCB_ZE_13104	I love studying foreign customs, but [From.GetTitledFirstName] thinks I should look to my own virtues instead.
EVTDESCC_ZE_13104	[From.GetTitledFirstName] seems to think I'm too clever for my own good, or so [From.GetSheHe] said.
EVTOPTA_ZE_13104	[From.GetSheHe] is right, I should calm down.
EVTOPTB_ZE_13104	But they are fools!
EVTOPTC_ZE_13104	Is [From.GetSheHe] not interested in the world at all?
EVTOPTD_ZE_13104	Too clever for [From.GetHerHim], maybe.
EVTDESCA_ZE_13111	As I grow older, I increasingly find that my faith is a true fountain of strength.
EVTDESCB_ZE_13111	The more I hear of the words of the wise [Root.GetMenWomen] of old, the more I want to be like them.
EVTDESCC_ZE_13111	It gives me great joy to admire the achievements of others. Especially as I am so weak myself.
EVTOPTA_ZE_13111	And I praise [Root.Religion.GetRandomGodName]!
EVTOPTB_ZE_13111	Only from knowledge comes true strength.
EVTOPTC_ZE_13111	They strike me with awe.
EVTDESCA_ZE_13112	Young [From.GetFirstName] seems to be developing very strong religious sentiments.
EVTDESCB_ZE_13112	Young [From.GetFirstName] often speaks in reverence of the wise [From.GetMenWomen] of old, saying [From.GetSheHe] wants to be like them.
EVTDESCC_ZE_13112	Young [From.GetFirstName] seems to be quick to praise the deeds of others around [From.GetHerHim], while neglecting [From.GetHerHis] own physical activity and development.
EVTOPTA_ZE_13112	[From.GetSheHeCap] should focus on helping others instead.
EVTOPTB_ZE_13112	What a lovely child!
idolizer_may_become_kind	Chance of [From.GetFirstName] becoming Kind.
EVTDESCA_ZE_13114	[From.GetTitledFirstName] seems to think that I should replace my reverence for [Root.Religion.GetRandomGodName] with love for my fellow man.
EVTDESCB_ZE_13114	I worship the memory of the wise [From.GetMenWomen] of old, but [From.GetTitledFirstName] thinks that I should focus on loving the living around me instead.
EVTDESCC_ZE_13114	I easily adore the virtues of others, but [From.GetTitledFirstName] thinks I'm too passive and should should focus more on helping people, lest I grow weak.
EVTOPTA_ZE_13114	[From.GetSheHeCap] is right.
EVTOPTB_ZE_13114	No, [Root.Religion.GetRandomGodName] is the greatest!
EVTOPTC_ZE_13114	I shall love them when they have something interesting to say.
EVTOPTD_ZE_13114	I'm fine.
EVTDESCA_ZE_14100	I have finished my education in diplomacy. I found the lessons rather tedious.
EVTDESCB_ZE_14100	I have finished my education in diplomacy. It is a fascinating subject.
EVTDESCC_ZE_14100	I have finished my education in diplomacy. I find that I have some talent for it.
EVTDESCD_ZE_14100	I have finished my education in diplomacy. I feel that I have truly found my calling.
EVTOPTA_ZE_14100	Speak frankly and all will love you.
EVTOPTB_ZE_14100	Never hate your enemies. It affects your judgment.
EVTOPTC_ZE_14100	Speak softly and carry a big stick.
EVTOPTD_ZE_14100	The best way to keep one's word is to not give it.
EVTDESCA_ZE_14110	Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It turned out less well than expected.
EVTDESCB_ZE_14110	Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It seems [From.GetSheHe] has learned all the basic skills required.
EVTDESCC_ZE_14110	Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.
EVTDESCD_ZE_14110	Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.
EVTOPTA_ZE_14110	Oh well.
EVTOPTB_ZE_14110	Very good.
EVTOPTC_ZE_14110	This pleases me.
EVTDESCA_ZE_14200	I have finished my education in the ways of war. I found the lessons rather tedious.
EVTDESCB_ZE_14200	I have finished my education in the ways of war. It is a fascinating subject.
EVTDESCC_ZE_14200	I have finished my education in the ways of war. I find that I have some talent for it.
EVTDESCD_ZE_14200	I have finished my education in the ways of war. I feel that I have truly found my calling.
EVTOPTA_ZE_14200	Courage is all a soldier needs.
EVTOPTB_ZE_14200	Know your enemy.
EVTOPTC_ZE_14200	It is wise to attack the enemy's strategy.
EVTOPTD_ZE_14200	War is a continuation of politics.
EVTDESCA_ZE_14210	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It turned out less well than expected.
EVTDESCB_ZE_14210	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It seems [From.GetSheHe] has learned all the basic skills required.
EVTDESCC_ZE_14210	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.
EVTDESCD_ZE_14210	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of war. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.
EVTDESCA_ZE_14300	I have finished my education in stewardship. I found the lessons rather tedious.
EVTDESCB_ZE_14300	I have finished my education in stewardship. It is a fascinating subject.
EVTDESCC_ZE_14300	I have finished my education in stewardship. I find that I have some talent for it.
EVTDESCD_ZE_14300	I have finished my education in stewardship. I feel that I have truly found my calling.
