#CODE	ENGLISH	ENGLISH
#MODIFIER_COMBAT_RATING	Combat Rating	Combat Rating
CR_DIFF_LOWER_THAN	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!
EVTDESC38309	The fog in my mind has lifted. I realize now that I used to be a Lunatic!	The fog in my mind has lifted. I realize now that I used to be a Lunatic!
EVTDESC38310	I have lost my absolute convictions and try to keep an open mind. I have lost the Zealous trait.	I have lost my absolute convictions and try to keep an open mind. I have lost the Zealous trait.
EVTDESC38311	My frank bluntness won't get me into trouble anymore - I have lost the Honest trait.	My frank bluntness won't get me into trouble anymore - I have lost the Honest trait.
EVTDESC38312	I have learned to take pride in my actions and in my great family. I have lost the Humble trait.	I have learned to take pride in my actions and in my great family. I have lost the Humble trait.
EVTOPTC64130	Life is good!	Life is good!
EVTDESC_WOL_40	This morning I woke up with a painful itch. It seems [Root.Religion.GetRandomGodName] has seen fit to blight me with a minor pox for my sinful activities.	This morning I woke up with a painful itch. It seems [Root.Religion.GetRandomGodName] has seen fit to blight me with a minor pox for my sinful activities.
EVTDESC_WOL_40_NC	This morning I woke up with a painful itch... It seems I have contracted Lover's Pox.	This morning I woke up with a painful itch... it seems I have contracted Lover's Pox.
EVTDESC_WOL_500	My confessor, [target_priest.GetTitledName] is such an attractive [target_priest.GetManWoman]! I've applied my ample charms and can tell [target_priest.GetSubjectPronoun] is thinking of other things than [target_priest.Religion.GetRandomGodName]!	My confessor, [target_priest.GetTitledName] is such an attractive [target_priest.GetManWoman]! I've applied my ample charms and can tell [target_priest.GetSubjectPronoun] is thinking of other things than [target_priest.Religion.GetRandomGodName]!
EVTOPTA_WOL_500	Give [target_priest.GetObjectPronoun] a taste of what [target_priest.GetSubjectPronoun] is missing!	Give [target_priest.GetObjectPronoun] a taste of what [target_priest.GetSubjectPronoun] is missing!
EVTOPTB_WOL_500	I do so love teasing the dear [target_priest.GetManWoman]...	I do so love teasing the dear [target_priest.GetManWoman]...
EVTDESC_WOL_520	Recently, I have amused myself with seducing a handsome young guard. He follows me around like a puppy now... a very big, muscular puppy!	Recently, I have amused myself with seducing a handsome young guard. He follows me around like a puppy now... a very big, muscular puppy!
EVTOPTA_WOL_520	Make him a squire and keep him as my lover...	Make him a squire and keep him as my lover...
EVTOPTB_WOL_520	Give him a tumble and I'll have the most loyal bodyguard ever!	Give him a tumble and I'll have the most loyal bodyguard ever!
EVTOPTC_WOL_520	It's been fun, but I should aim higher.	It's been fun, but I should aim higher.
EVTDESC_WOL_530	I've had my eye on a feisty young scullery maid with huge... intellect for some time now. Though she skillfully dodges the attentions of every boy and greybeard at court, I have her blushing furiously whenever I gaze into her eyes. Seduced and wrapped around my finger, this sharp lass could be very useful...	I've had my eye on a feisty young scullery maid with huge... intellect for some time now. Though she skillfully dodges the attentions of every boy and greybeard at court, I have her blushing furiously whenever I gaze into her eyes. Seduced and wrapped around my finger, this sharp lass could be very useful...
EVTOPTA_WOL_530	Make her a lady and keep her as my mistress...	Make her a lady and keep her as my mistress...
EVTOPTB_WOL_530	Bed her and make her mine. What a spy she'll make!	Bed her and make her mine. What a spy she'll make!
EVTOPTC_WOL_530	A common wench? I can do better!	A common wench? I can do better!
##		
##		
##		
##		
##		
##		
##		
##		
##		
##		
##		
EVTDESC_WOL_560	I see her flit past out of the corner of my eye, naked and red-haired, giggling - the nymph who lives in the garden. Always teasing me, never showing herself clearly. What must I do to win her heart?	I see her flit past out of the corner of my eye, naked and red-haired, giggling - the nymph who lives in the garden. Always teasing me, never showing herself clearly. What must I do to win her heart?
EVTOPTA_WOL_560	The magnificent old rose bush! She must be its spirit.	The magnificent old rose bush! She must be its spirit.
EVTOPTB_WOL_560	Wait... why am I out here in my smallclothes at this hour?	Wait... why am I out here in my smallclothes at this hour?
EVTTOOLTIP_WoL_561	You enter the rose bush, professing your love.	You enter the rose bush, professing your love.
EVTDESC_WOL_561	When I staggered out of the rose bush hours had passed, my head filled with carnal but vague memories. I am bleeding all over from the cruel thorns. The voluptuous dryad has exacted her price...	When I staggered out of the rose bush hours had passed, my head filled with carnal but vague memories. I am bleeding all over from the cruel thorns. The voluptuous dryad has exacted her price...
EVTOPTA_WOL_561	Will I ever see her again?	Will I ever see her again?
EVTDESC_WOL_562	Today the servants found a newborn baby in a basket under the magical rose bush of my dryad lover!	Today the servants found a newborn baby in a basket under the magical rose bush of my dryad lover!
EVTOPTA_WOL_562	Proclaim that little [target_baby.GetFirstName] is my [target_baby.GetSonDaughter]!	Proclaim that little [target_baby.GetFirstName] is my [target_baby.GetSonDaughter]!
EVTOPTB_WOL_562	[target_baby.GetFirstName] will be well cared for.	[target_baby.GetFirstName] will be well cared for.
EVTDESC_WOL_570	The centaur beckons to me, massive muscles flexing. I have never seen anything more masculine in my life!	The centaur beckons to me, massive muscles flexing. I have never seen anything more masculine in my life!
EVTOPTA_WOL_570	I am overcome by his musky scent.	I am overcome by his musky scent.
EVTOPTB_WOL_570	Wait... a centaur? In our stables?!	Wait... a centaur? In our stables?!
EVTTOOLTIP_WoL_571	You succumb to your desires.	You succumb to your desires.
EVTDESC_WOL_571	I came to in a state of bliss, mind filled with foggy images of the stunningly handsome centaur and our night of passion.	I came to in a state of bliss, mind filled with foggy images of the stunningly handsome centaur and our night of passion.
EVTOPTA_WOL_571	Will I ever see him again?	Will I ever see him again?
EVTDESC_WOL_580	The misery of my captivity is only broken when I get to apply my charms on the gaoler. I can tell the ugly lout desires me... perhaps I can exploit his weakness to escape?	The misery of my captivity is only broken when I get to apply my charms on the gaoler. I can tell the ugly lout desires me... perhaps I can exploit his weakness to escape?
EVTOPTA_WOL_580	Come here, handsome!'	Come here, handsome!'
EVTOPTB_WOL_580	It is too risky.	It is too risky.
EVTDESC_WOL_581	The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He burst out laughing, slapped me on the rump and left, snickering scornfully.	The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He burst out laughing, slapped me on the rump and left, snickering scornfully.
EVTOPTA_WOL_581	I am sure his [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], will hear of this...	I am sure his [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], will hear of this...
EVTDESC_WOL_582	My prisoner, [From.GetTitledName], attempted to use her female charms on the gaoler to escape. Fortunately, he did not fall for her wiles.	My prisoner, [From.GetTitledName], attempted to use her female charms on the gaoler to escape. Fortunately, he did not fall for her wiles.
EVTOPTA_WOL_582	Spunky! I say she has earned better quarters.	Spunky! I say she has earned better quarters.
EVTOPTB_WOL_582	Reward the gaoler for his integrity.	Reward the gaoler for his integrity.
EVTOPTC_WOL_582	The [GetRootFromInsult]! Throw her in the oubliette.	The [GetRootFromInsult]! Throw her in the oubliette.
EVTDESC_WOL_583	[From.GetTitledFirstNameNoRegnal] was so impressed by my initiative with the gaoler that [From.GetSubjectPronoun] personally escorted me out of the dungeon to better accomodations. It should be easier to escape from here...	[From.GetTitledFirstNameNoRegnal] was so impressed by my initiative with the gaoler that [From.GetSubjectPronoun] personally escorted me out of the dungeon to better accomodations. It should be easier to escape from here...
EVTOPTA_WOL_583	I am grateful.	I am grateful.
EVTDESC_WOL_584	When my captor [From.GetTitledFirstNameNoRegnal] learned of my seduction attempt, [From.GetSubjectPronoun] had me thrown in the Oubliette!	When my captor [From.GetTitledFirstNameNoRegnal] learned of my seduction attempt, [From.GetSubjectPronoun] had me thrown in the Oubliette!
EVTOPTA_WOL_584	The [GetRootFromInsult]! I will die in this hole...	The [GetRootFromInsult]! I will die in this hole...
EVTDESC_WOL_585	The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He eagerly snuck me past a few other guards to his own cot, where I had to do things I am not proud of... Then I bashed him on the head with a heavy jug, grabbed his keys and clothes and made my escape!	The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He eagerly snuck me past a few other guards to his own cot, where I had to do things I am not proud of... Then I bashed him on the head with a heavy jug, grabbed his keys and clothes and made my escape!
EVTOPTA_WOL_585	Freedom!	Freedom!
EVTDESC_WOL_586	My chief gaoler was seduced by my prisoner, the wily [From.GetTitledName]. He took her to his cot where she bashed him on the head with a wine jug and managed to make her escape!	My chief gaoler was seduced by my prisoner, the wily [From.GetTitledName]. He took her to his cot where she bashed him on the head with a wine jug and managed to make her escape!
EVTOPTA_WOL_586	Throw the idiot in the Oubliette!	Throw the idiot in the Oubliette!
EVTDESC_WOL_590	My concubine, [target_consort.GetTitledFirstNameNoRegnal], does not love me. While love is not exactly necessary, I'd still like to see her beautiful face light up with smiles and laughter... so I've decided to romance her!	My concubine, [target_consort.GetTitledFirstNameNoRegnal], does not like me much. While love is not necessary, I'd like to see her beautiful face light up with smiles and laughter... so I've decided to romance her!
EVTOPTA_WOL_590	Turn on the charm	Turn on the charm
EVTTOOLTIP_WoL_591	The seduction of [This.GetFirstName] begins	The seduction of [This.GetFirstName] begins
EVTDESC_WOL_592	I did get my [GetFromRelation] [From.GetFirstName] to laugh today, as I told her a silly joke about two squirrels. I think she is warming up to me...	I did get my [GetFromRelation] [From.GetFirstName] to laugh today, as I told her a silly joke about two squirrels. I think she is warming up to me...
EVTDESC_WOL_592_B	I can tell my [GetFromRelation] [From.GetFirstName] is finally falling in love with me. She snuggled up to me as we watched the sunset together from the roof of the great tower.	I can tell my [GetFromRelation] [From.GetFirstName] is finally falling in love with me. She snuggled up to me as we watched the sunset together from the roof of the great tower.
EVTOPTA_WOL_592	Good, that gladdens me!	Good, that gladdens me!
EVTDESC_WOL_593	Thanks to my romantic efforts, sweet [From.GetFirstName], my [GetFromRelation], has also become my lover. It feels great to be rid of the cold awkwardness around her!	Thanks to my romantic efforts, sweet [From.GetFirstName], my [GetFromRelation], has also become my lover. It feels great to be rid of the cold awkwardness around her!
EVTOPTA_WOL_593	Finally!	Finally!
EVTDESC_WOL_594	Today, [From.GetFirstName], my [GetFromRelation], confessed that she has forgiven me for her abduction. She has grown to like her new life in [Root.Capital.Capital.GetName]... and me.	Today, [From.GetFirstName], my [GetFromRelation], confessed that she has forgiven me for her abduction. She has grown to like her new life in [Root.Capital.Capital.GetName]... and me.
EVTOPTA_WOL_594	I am relieved!	I am relieved!
EVTDESC_WOL_595	My [GetFromRelation] [From.GetFirstName] is not warming up to me at all. She laughs at my jokes, true, but not because she finds them funny, but with scorn. She told me outright that she despises me!	My [GetFromRelation] [From.GetFirstName] is not warming up to me at all. She laughs at my jokes, true, but not because she finds them funny, but with scorn. She told me outright that she despises me!
EVTOPTA_WOL_595	I'll just have to keep at it!	I'll just have to keep at it!
EVTOPTB_WOL_595	I give up. Perhaps I should put her aside...	I give up. Perhaps I should put her aside...
EVTDESC_WOL_1150	Having many lovers is exciting and fulfilling. So much love, so much desire... but so little time! I feel like I'm burning the candle at both ends.	Having many lovers is exciting and fulfilling. So much love, so much desire... but so little time! I feel like I'm burning the candle at both ends.
EVTOPTA_WOL_1150	I can make this work!	I can make this work!
EVTOPTB_WOL_1150	Break up with [first_lover.GetTitledFirstNameNoRegnal]	Break up with [first_lover.GetTitledFirstNameNoRegnal]
EVTOPTC_WOL_1150	Break up with [second_lover.GetTitledFirstNameNoRegnal]	Break up with [second_lover.GetTitledFirstNameNoRegnal]
EVTOPTD_WOL_1150	Break up with [third_lover.GetTitledFirstNameNoRegnal]	Break up with [third_lover.GetTitledFirstNameNoRegnal]
EVTDESC_WOL_1160	My beloved [my_lover.GetTitledFirstNameNoRegnal] is suffering from [my_lover.GetPossPronoun] bad marriage with [my_lover.Spouse.GetTitledFirstName]. Perhaps I should suggest a romantic retreat to the countryside, just the two of us (and our most trusted retainers)?	My beloved [my_lover.GetTitledFirstNameNoRegnal] is suffering from [my_lover.GetPossPronoun] bad marriage with [my_lover.Spouse.GetTitledFirstName]. Perhaps I should suggest a romantic retreat to the countryside, just the two of us (and our most trusted retainers)?
EVTOPTA_WOL_1160	I yearn for [my_lover.GetPossPronoun] embrace!	I yearn for [my_lover.GetPossPronoun] embrace!
EVTOPTB_WOL_1160	No. What if [my_lover.Spouse.GetFirstName] were to find out?	No. What if [my_lover.Spouse.GetFirstName] were to find out?
EVTTOOLTIP_WoL_1161	The suggestion is made. [This.GetTitledFirstNameNoRegnal] gets to decide...	The suggestion is made. [This.GetTitledFirstNameNoRegnal] gets to decide...
EVTDESC_WOL_1161	Ripped pillows, broken furniture, shattered vases... My marriage to [Root.Spouse.GetFirstName] has devolved into an unending torment of bitter arguments and fiery rows. I would be depressed, but my lover, [From.GetTitledFirstNameNoRegnal], just suggested that we retire to the countryside for a few days of carefree romance and passion!	Ripped pillows, broken furniture, shattered vases... My marriage to [Root.Spouse.GetFirstName] has devolved into an unending torment of bitter arguments and fiery rows. I would be depressed, but my lover, [From.GetTitledFirstNameNoRegnal], just suggested that we retire to the countryside for a few days of carefree romance and passion!
EVTOPTA_WOL_1161	What a splendid idea!	What a splendid idea!
EVTOPTB_WOL_1161	No... let's be together right here under [Root.Spouse.GetFirstName]'s nose!	No... let's be together right here under [Root.Spouse.GetFirstname]'s nose!
EVTOPTC_WOL_1161	I wish... but we can't risk it.	I wish... but we can't risk it.
EVTOPTD_WOL_1161	We can't! The Watcher... he sees all!	We can't! The Watcher... he sees all!
EVTTOOLTIP_WoL_1162	We risk discovery by [Root.Spouse.GetFirstName]	We risk discovery by [Root.Spouse.GetFirstName]
EVTTOOLTIP_WoL_1163	There is almost no risk of discovery by [Root.Spouse.GetFirstName]	There is almost no risk of discovery by [Root.Spouse.GetFirstName]
EVTDESC_WOL_1162	[From.GetFirstName] convinced me to stay in [From.Capital.Capital.GetName] so that we could be together right under [From.Spouse.GetTitledFirstNameNoRegnal]'s nose. We even made love in [From.Spouse.GetPossPronoun] bed!	[From.GetFirstName] convinced me to stay in [From.Capital.Capital.GetName] so that we could be together right under [From.Spouse.GetTitledFirstNameNoRegnal]'s nose. We even made love in [From.Spouse.GetPossPronoun] bed!
EVTOPTA_WOL_1162	We are so naughty...	We are so naughty...
EVTDESC_WOL_1163	My [GetFromRelation] [From.GetFirstName] and I spent a few days of romance and passion in a country house far away from the prying eyes of [From.Spouse.GetTitledFirstNameNoRegnal]...	My [GetFromRelation] [From.GetFirstName] and I spent a few days of romance and passion in a country house far away from the prying eyes of [From.Spouse.GetTitledFirstNameNoRegnal]...
EVTOPTA_WOL_1163	I am so happy! Exhausted too...	I am so happy! Exhausted too...
EVTDESC_WOL_1164	My [GetFromRelation] [From.GetFirstName] declined my suggestion that we spend some time together alone in a country house, for fear of upsetting [From.GetPossPronoun] [From.Spouse.GetHusbandWife].	My [GetFromRelation] [From.GetFirstName] declined my suggestion that we spend some time together alone in a country house, for fear of upsetting [From.GetPossPronoun] [From.Spouse.GetHusbandWife].
EVTOPTA_WOL_1164	Such a wasted opportunity!	Such a wasted opportunity!
EVTDESC_WOL_1164_MAD	My [GetFromRelation] [From.GetFirstName] declined my suggestion that we spend some time together alone in a country house, mumbling about a Watcher with 'cruel eyes' who sees all...	My [GetFromRelation] [From.GetFirstName] declined my suggestion that we spend some time together alone in a country house, mumbling about a Watcher with 'cruel eyes' who sees all...
EVTOPTA_WOL_1164_MAD	My poor love, I fear [From.GetSubjectPronoun] is losing it!	My poor love, I fear [From.GetSubjectPronoun] is losing it!
EVTOPTA_WOL_1164_MAD_MAD	Aagh! Not the Watcher! I must hide...	Aagh! Not the Watcher! I must hide...
EVTDESC_WOL_2002	Life in the shadows is a risky affair - eavesdroppers can be discovered, plots can backfire, and vengeful victims come after you dagger in hand! I am not proud of what I do, but it is for the greater good.	Life in the shadows is a risky affair - eavesdroppers can be discovered, plots can backfire, and vengeful victims come after you dagger in hand! I am not proud of what I do, but it is for the greater good.
EVTDESC_WOL_2003	Even the mightiest army can be defeated by a single [Root.GetManWoman]. Cut off the head and the body falls. I am [Root.GetFirstName] - [Root.GetMasterMistress] of Shadows.	Even the mightiest army can be defeated by a single [Root.GetManWoman]. Cut off the head and the body falls. I am [Root.GetFirstName] - [Root.GetMasterMistress] of Shadows.
EVTOPTA_WOL_2003	I shall rule from the shadows.	I shall rule from the shadows.
EVTOPTB_WOL_2003	I shall strike terror into the hearts of my foes!	I shall strike terror into the hearts of my foes!
EVTOPTC_WOL_2003	And yet, I won't let the shadows define me...	And yet, I won't let the shadows define me...
EVTDESC_WOL_2050	I - and my trusted snoops and sneaks - will keep a very close eye on the activities of [From.GetTitledName]... a close eye indeed.	I - and my trusted snoops and sneaks - will keep a very close eye on the activities of [From.GetTitledName]... a close eye indeed.
EVTOPTA_WOL_2050	I wonder what secrets [From.GetSubjectPronoun] is hiding?	I wonder what secrets [From.GetSubjectPronoun] is hiding?
EVTDESC_WOL_2061	There is no point spying on [FromFromFrom.GetTitledFirstName] anymore, considering [FromFromFrom.GetSubjectPronoun] is dead!	There is no point spying on [FromFromFrom.GetTitledFirstName] anymore, considering [FromFromFrom.GetSubjectPronoun] is dead!
EVTOPTA_WOL_2061	Time to turn my attention elsewhere.	Time to turn my attention elsewhere.
EVTDESC_WOL_2062	[FromFromFrom.GetTitledFirstName] has ended up in prison, so there's no point spying on [FromFromFrom.GetObjectPronoun] anymore.	[FromFromFrom.GetTitledFirstName] has ended up in prison, so there's no point spying on [FromFromFrom.GetObjectPronoun] anymore.
EVTDESC_WOL_2063	[FromFromFrom.GetTitledFirstName], the target of my current spy efforts, has tragically fallen comatose, making the endeavour pointless.	[FromFromFrom.GetTitledFirstName], the target of my current spy efforts, has tragically fallen comatose, making the endeavour pointless.
EVTDESC_WOL_2064	[FromFromFrom.GetTitledFirstName] is no longer present in the realm, so there is no further point to my spying.	[FromFromFrom.GetTitledFirstName] is no longer present in the realm, so there is no further point to my spying.
EVTDESC_WOL_2071	My spying on [target_spy_on.GetTitledName] has revealed [target_spy_on.GetPossPronoun] complicity in a shadowy plot to [From.GetPlot]!	My spying on [target_spy_on.GetTitledName] has revealed [target_spy_on.GetPossPronoun] complicity in a shadowy plot to [From.GetPlot]!
EVTOPTA_WOL_2071	Knowledge is power!	Knowledge is power!
EVTDESC_WOL_2080	My snoops overheard [FromFromFrom.GetTitledName] as [FromFromFrom.GetSubjectPronoun] told shocking lies about [FromFromFrom.GetPossPronoun] rightful liege! How should I use this information?	My snoops overheard [FromFromFrom.GetTitledName] as [FromFromFrom.GetSubjectPronoun] told shocking lies about [FromFromFrom.GetPossPronoun] rightful liege! How should I use this information?
EVTDESC_WOL_2080_BASTARD	I have unearthed authentic love letters proving that [FromFromFrom.GetTitledName] is actually a bastard! [FromFromFrom.GetPossPronounCap] mother, [FromFromFrom.Mother.GetTitledFirstName] had a torrid love affair with [FromFromFrom.RealFather.GetTitledName]. How should I use this shocking information?	I have unearthed authentic love letters proving that [FromFromFrom.GetTitledName] is actually a bastard! [FromFromFrom.GetPossPronounCap] mother, [FromFromFrom.Mother.GetTitledFirstName] had a torrid love affair with [FromFromFrom.RealFather.GetTitledName]. How should I use this shocking information?
EVTDESC_WOL_2080_DEVIANT	My eyes and ears have discovered the bizarre and repulsive truth about [FromFromFrom.GetTitledName]'s sexual preferences. How should I use this juicy information?	My eyes and ears have discovered the bizarre and repulsive truth about [FromFromFrom.GetTitledName]'s sexual preferences. How should I use this juicy information?
EVTDESC_WOL_2080_HERETIC	Thanks to my loyal spies, I have found out that [FromFromFrom.GetTitledName] is attempting to promote [FromFromFrom.GetPossPronoun] vile heresies. How should I use this information?	Thanks to my loyal spies, I have found out that [FromFromFrom.GetTitledName] is attempting to promote [FromFromFrom.GetPossPronoun] vile heresies. How should I use this information?
EVTDESC_WOL_2080_INFIDEL	My trusted informants tell me that [FromFromFrom.GetTitledName] is preaching [FromFromFrom.GetPossPronoun] false religion in [FromFromFrom.Capital.GetName]. How should I use this information?	My trusted informants tell me that [FromFromFrom.GetTitledName] is preaching [FromFromFrom.GetPossPronoun] false religion in [FromFromFrom.Capital.GetName]. How should I use this information?
EVTDESC_WOL_2080_TRAITOR	Though of somewhat dubious provenance, I have received information that [FromFromFrom.GetTitledName] is plotting treason against [FromFromFrom.GetPossPronoun] rightful liege! How should I use this explosive information?	Though of somewhat dubious provenance, I have received information that [FromFromFrom.GetTitledName] is plotting treason against [FromFromFrom.GetPossPronoun] rightful liege! How should I use this explosive information?
EVTOPTA_WOL_2080	Inform [target_spy_on.GetPossPronoun] liege, [target_spy_on.Liege.GetTitledName].	Inform [target_spy_on.GetPossPronoun] liege, [target_spy_on.Liege.GetTitledName].
EVTOPTB_WOL_2080	Expose and denounce [target_spy_on.GetObjectPronoun] publicly, giving me a reason to arrest [target_spy_on.GetObjectPronoun]!	Expose and denounce [target_spy_on.GetObjectPronoun] publicly, giving me a reason to arrest [target_spy_on.GetObjectPronoun]!
EVTOPTB_WOL_2080_HARSH	Denounce [target_spy_on.GetObjectPronoun], giving me reasons for arrest and revokation!	Denounce [target_spy_on.GetObjectPronoun], giving me reasons for arrest and revokation!
EVTOPTC_WOL_2080	Threaten [target_spy_on.GetFirstName] with exposure unless [target_spy_on.GetSubjectPronoun] stays out of all factions.	Threaten [target_spy_on.GetFirstName] with exposure unless [target_spy_on.GetSubjectPronoun] stays out of all factions.
EVTOPTD_WOL_2080	Threaten [target_spy_on.GetFirstName] with exposure unless [target_spy_on.GetSubjectPronoun] joins my factions.	Threaten [target_spy_on.GetFirstName] with exposure unless [target_spy_on.GetSubjectPronoun] joins my factions.
EVTOPTE_WOL_2080	Keep this information to myself.	Keep this information to myself.
EVTDESC_WOL_2081	[From.GetTitledName] claims to have proof that I have slandered [From.GetObjectPronoun] - just cause for arrest and imprisonment!	[From.GetTitledName] claims to have proof that I have slandered [From.GetObjectPronoun] - just cause for arrest and imprisonment!
EVTDESC_WOL_2081_BASTARD	[From.GetTitledName] claims to have discovered proof that my real father is in fact [Root.RealFather.GetTitledName], making me a bastard! I could be arrested, or even have my titles revoked over this!	[From.GetTitledName] claims to have discovered proof that my real father is in fact [Root.RealFather.GetTitledName], making me a bastard! I could be arrested, or even have my titles revoked over this!
EVTDESC_WOL_2081_TRAITOR	[From.GetTitledName] is publicly denouncing me as a traitor, claiming to have witnesses that can testify against me. I could be arrested, or even have my titles revoked over this!	[From.GetTitledName] is publicly denouncing me as a traitor, claiming to have witnesses that can testify against me. I could be arrested, or even have my titles revoked over this!
EVTDESC_WOL_2081_HERETIC	[From.GetTitledName] is claiming that I am promoting heresy! I could be arrested over this.	[From.GetTitledName] is claiming that I am promoting heresy! I could be arrested over this.
EVTDESC_WOL_2081_INFIDEL	[From.GetTitledName] is claiming that I am attempting to spread my [Root.Religion.GetGroupName] faith! I could be arrested over this.	[From.GetTitledName] is claiming that I am attempting to spread my [Root.Religion.GetGroupName] faith! I could be arrested over this.
EVTDESC_WOL_2081_DEVIANT	[From.GetTitledName] claims to have unearthed shocking evidence of my criminal deviancy and low morals. I could be arrested over this slander.	[From.GetTitledName] claims to have unearthed shocking evidence of my criminal deviancy and low morals. I could be arrested over this slander.
EVTOPTA_WOL_2081	Foul lies!	Foul lies!
EVTDESC_WOL_2082	[From.GetTitledName] has provided me with proof that [target_spy_on.GetTitledName] has been viciously slandering me! How should I use this information?	[From.GetTitledName] has provided me with proof that [target_spy_on.GetTitledName] has been viciously slandering me! How should I use this information?
EVTDESC_WOL_2082_BASTARD	[From.GetTitledName] has unearthed authentic love letters proving that [target_spy_on.GetTitledName] is actually a bastard! [target_spy_on.GetPossPronounCap] mother, [target_spy_on.Mother.GetTitledFirstName] had a torrid love affair with [target_spy_on.RealFather.GetTitledName]. How should I use this shocking information?	[From.GetTitledName] has unearthed authentic love letters proving that [target_spy_on.GetTitledName] is actually a bastard! [target_spy_on.GetPossPronounCap] mother, [target_spy_on.Mother.GetTitledFirstName] had a torrid love affair with [target_spy_on.RealFather.GetTitledName]. How should I use this shocking information?
EVTDESC_WOL_2082_DEVIANT	[From.GetTitledName] has given me bizarre and repulsive evidence concerning [target_spy_on.GetTitledName]'s sexual preferences. How should I use this juicy information?	[From.GetTitledName] has given me bizarre and repulsive evidence concerning [target_spy_on.GetTitledName]'s sexual preferences. How should I use this juicy information?
